spot_name,latitude,longitude,day,hotel_name,distance_to_hotel
Spot 84,40.932935985124395,-87.18089012597629,11,Hotel 11,18.665595089155982
Spot 1,44.36311406483066,-114.64340964097465,12,Hotel 12,2.9020312447820116
Spot 57,34.67913677495996,-105.56143480489217,12,Hotel 12,10.689329461684224
Spot 88,40.67151812576353,-99.52411090099514,12,Hotel 12,12.706882930151092
Spot 62,39.525485843628545,-107.75454840587625,13,Hotel 13,14.44679819639237
Spot 94,34.927914281885265,-92.46629797805771,13,Hotel 13,30.384945325914046
Spot 99,32.467064852766484,-101.75604705537206,13,Hotel 13,23.034042334568937
Spot 19,30.848204118644116,-90.92275754425927,14,Hotel 14,10.385123912605618
Spot 56,35.47933838935444,-94.09434241464805,14,Hotel 14,6.961491068787247
Spot 90,31.773474896460247,-100.59505628461352,14,Hotel 14,2.0976588759265553
Spot 16,30.313105085727475,-122.21711128733095,15,Hotel 15,9.467262406925718
Spot 82,35.38001905428544,-120.04972102921522,15,Hotel 15,6.0074141479621215
Spot 96,44.809995777589904,-74.66404123975092,15,Hotel 15,50.01305405130417
Spot 12,43.71669707789638,-84.08262826889998,16,Hotel 16,3.2251825809398804
Spot 24,42.671048329795916,-82.90134141518368,16,Hotel 16,1.874694258741005
Spot 54,39.65628524123778,-81.1728212919102,16,Hotel 16,3.0328527072198677
Spot 5,41.69937772223162,-95.60189165226126,17,Hotel 17,6.877203427129058
Spot 40,40.244035070942864,-93.8066929234214,17,Hotel 17,6.3946329052300435
Spot 75,33.600439327233524,-90.024649980491,17,Hotel 17,7.780439026829591
Spot 18,41.95410583895623,-67.92127382143265,18,Hotel 18,2.3788115200890445
Spot 45,44.431864787241174,-66.70082231719334,18,Hotel 18,1.5093978392016785
Spot 68,43.49353953601715,-69.14701489007649,18,Hotel 18,1.2498632434530736
Spot 23,32.40220362411845,-67.96306719649544,19,Hotel 19,2.4432581130898727
Spot 58,31.817587397409902,-66.4307904173979,19,Hotel 19,1.0355394096766553
Spot 73,31.760908075355978,-84.8265355405137,19,Hotel 19,18.766497311412056
Spot 28,40.57830082453472,-104.88235336375048,20,Hotel 20,1.1300982700018782
Spot 36,42.54386035475192,-96.95266203589125,20,Hotel 20,8.684323738441753
Spot 61,44.421435685079004,-104.68325675639392,20,Hotel 20,4.97236741289785
Spot 11,32.52102294893889,-115.32995226376946,21,Hotel 21,7.141377890131587
Spot 52,31.176822956941052,-118.4017162726241,21,Hotel 21,5.290822028997842
Spot 93,36.032190920163174,-121.64667784746004,21,Hotel 21,1.0505459165953697
Spot 55,34.621066186657124,-118.67445193679504,22,Hotel 22,9.858012185660263
Spot 91,33.22974483399009,-122.51150928622639,22,Hotel 22,9.36878876380699
Spot 97,42.03289653872644,-99.63060109821225,22,Hotel 22,25.2263470545056
Spot 34,32.82167715020609,-79.7519115715633,23,Hotel 23,7.048413488892762
Spot 66,38.22185541872439,-82.00018751640842,23,Hotel 23,9.876588845002455
Spot 85,44.916553364521775,-65.9488594020039,23,Hotel 23,12.58507256424422
Spot 41,35.37566919944683,-66.96080441676514,24,Hotel 24,0.989746895837694
Spot 53,36.921142302140396,-68.90210276528484,24,Hotel 24,3.387596809158307
Spot 65,33.26747822529176,-65.72340124295732,24,Hotel 24,1.9445668891025103
Spot 20,32.165549452098176,-95.31898845004761,25,Hotel 25,6.205713559207096
Spot 39,33.58061887133066,-100.52269467317122,25,Hotel 25,1.113251215679785
Spot 63,37.323964673823404,-96.6218329797048,25,Hotel 25,6.499313207821943
Spot 10,43.91995570674445,-122.91607188556965,26,Hotel 26,0.47681080537780557
Spot 67,43.498881215508824,-113.70977708728572,26,Hotel 26,8.80075689173052
Spot 92,39.572135558619046,-100.76813779554085,26,Hotel 26,22.19278284501366
Spot 30,32.02058302912867,-119.88423552443447,27,Hotel 27,8.538622547543758
Spot 69,31.43391149622981,-120.07954408546603,27,Hotel 27,9.156944388959568
Spot 95,32.68168264334932,-98.68960193869725,27,Hotel 27,19.900061350990924
Spot 4,41.40741150448383,-91.3030708924084,28,Hotel 28,4.365768424341269
Spot 22,32.146203456177155,-85.76045253834923,28,Hotel 28,6.518567407615661
Spot 47,38.35142063879306,-89.81879509563747,28,Hotel 28,1.0066035989843967
Spot 9,32.63758134831513,-107.46349719852608,29,Hotel 29,2.2774245830218645
Spot 46,30.11538697274388,-116.29553585833814,29,Hotel 29,9.71752658636179
Spot 86,36.93209344873178,-71.26002183270725,29,Hotel 29,35.90150578076949
Spot 13,35.92664841605563,-85.40537066053687,30,Hotel 30,5.021750220739292
Spot 27,32.358745965255395,-88.99233008877869,30,Hotel 30,9.331654990250678
Spot 72,39.211288559558554,-86.12374379330629,30,Hotel 30,6.596669028927029
Spot 3,41.54438634308354,-89.94995030765192,31,Hotel 31,3.528583517664957
Spot 35,39.41795106078698,-85.05806989677328,31,Hotel 31,6.642061961588356
Spot 64,36.34290037744415,-89.96981924637346,31,Hotel 31,8.622220311529198
Spot 29,43.81994485363482,-107.25686348868796,32,Hotel 32,2.9458283912235093
Spot 48,30.948873376107763,-112.4916454008485,32,Hotel 32,11.699049381094099
Spot 77,42.008463343269,-106.63390459882768,32,Hotel 32,1.0405648872511746
Spot 2,34.94781584674232,-110.47689529106654,33,Hotel 33,2.565521267598145
Spot 38,30.048572722413383,-115.34456175560933,33,Hotel 33,6.78987755352636
Spot 81,41.03573768310293,-106.851283533023,33,Hotel 33,8.573776926399033
